Nom_Universite;Site_Web
Université Montesquieu (Bordeaux IV);['http://www.montesquieu.u-bordeaux.fr/']
Ecole d'Architecture de Nancy;['http://www.nancy.archi.fr/']
Université Paris-Sorbonne (Paris IV);['http://www.paris4.sorbonne.fr/']
Ecole Nationale Supérieure d'Arts et Métiers de Paris;['http://www.paris.ensam.fr/']
Ecole Polytechnique Universitaire de Lille;['http://www.polytech-lille.fr/']
Ecole Polytechnique Marseille;['http://www.polytech-marseille.fr/']
École Polytechnique;['http://www.polytechnique.fr/', 'https://www.polytechnique.edu/']
Schiller International University, Paris;['http://www.schillerparis.com/']
Schiller International University, Strasbourg;['http://www.schillerstrasbourg.com/']
Institut d'Etudes Politiques de Paris (Sciences Po);['http://www.sciences-po.fr/']
Université Denis Diderot (Paris VII);['http://www.sigu7.jussieu.fr/']
Ecole Superieure Robert de Sorbon;['http://www.sorbon.fr/']
Ecole Nationale Supérieure de l'Aéronautique et de l'Espace;['http://www.supaero.fr/']
Groupe Sup de Co Amiens Picardie;['http://www.supco-amiens.fr/']
Groupe Sup de Co Montpellier;['http://www.supco-montpellier.fr/']
Ecole Supérieure d'Electricité;['http://www.supelec.fr/']
Université d'Aix-Marseille III;['http://www.u-3mrs.fr/']
Université Victor Segalen (Bordeaux II);['http://www.u-bordeaux2.fr/']
Université Bourgogne - Franche-Comté;['http://www.ubfc.fr/']
Université de Cergy-Pontoise;['http://www.u-cergy.fr/']
Université d'Auvergne (Clermont-Ferrand I);['http://www.u-clermont1.fr/']
Université Catholique de l' Ouest;['http://www.uco.fr/']
Université Grenoble Alpes;['https://www.univ-grenoble-alpes.fr/']
Université Rennes II - Haute-Bretagne;['http://www.uhb.fr/']
Université Henri Poincaré (Nancy I);['http://www.uhp-nancy.fr/']
Université de Caen Basse Normandie;['http://www.unicaen.fr/']
Université de Nice-Sophia Antipolis;['http://www.unice.fr/']
Université de Limoges;['http://www.unilim.fr/']
Université d'Angers;['http://www.univ-angers.fr/']
Université d'Artois;['http://www.univ-artois.fr/']
Université d'Avignon;['http://www.univ-avignon.fr/']
Université Blaise Pascal (Clermont-Ferrand II);['http://www.univ-bpclermont.fr/']
Université de Bretagne Occidentale;['http://www.univ-brest.fr/']
Université Catholique de Lyon;['http://www.univ-catholyon.fr/']
Université de Corse Pascal Paoli;['http://www.univ-corse.fr/']
Université d'Evry Val d'Essonne;['http://www.univ-evry.fr/']
Ecole Nationale Supérieure de Chimie de Toulouse;['http://www.univ-inpt.fr/~ensct/']
